# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.clear.count,1785188862276000000,1785188885597000000,2
workspaceModel.replace.project.model.ms,1785188862276000000,1785188885597000000,2
workspaceModel.cachedValue.calculated.count,1785188862276000000,1785188885597000000,17
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1785188862276000000,1785188885597000000,927
workspaceModel.workspaceFileIndexData.processFileSets.ms,1785188862276000000,1785188885597000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1785188862276000000,1785188885597000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1785188862276000000,1785188885597000000,0
workspaceModel.loading.from.cache.ms,1785188862276000000,1785188885597000000,14
workspaceModel.cachedValueWithParameters.calculated.count,1785188862276000000,1785188885597000000,0
workspaceModel.initializing.ms,1785188862276000000,1785188885597000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1785188862276000000,1785188885597000000,0
workspaceModel.init.bridges.ms,1785188862276000000,1785188885597000000,2
workspaceModel.cachedValueWithParameters.total.get.count,1785188862276000000,1785188885597000000,0
workspaceModel.check.recursive.update.ms,1785188862276000000,1785188885597000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1785188862276000000,1785188885597000000,0
workspaceModel.collect.changes.ms,1785188862276000000,1785188885597000000,1
workspaceModel.cachedValue.total.get.count,1785188862276000000,1785188885597000000,5478
workspaceModel.updates.ms,1785188862276000000,1785188885597000000,44
workspaceModel.cachedValue.from.cache.count,1785188862276000000,1785188885597000000,5461
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1785188862276000000,1785188885597000000,5
workspaceModel.workspaceFileIndexData.init.ms,1785188862276000000,1785188885597000000,0
workspaceModel.workspaceFileIndexData.instances.count,1785188862276000000,1785188885597000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1785188862276000000,1785188885597000000,22
workspaceModel.on.changed.ms,1785188862276000000,1785188885597000000,31
workspaceModel.pre.handlers.ms,1785188862276000000,1785188885597000000,0
workspaceModel.full.replace.project.model.ms,1785188862276000000,1785188885597000000,15
workspaceModel.to.snapshot.ms,1785188862276000000,1785188885597000000,0
FilePageCache.disposedBuffers,1785188862276000000,1785188885597000000,145
StorageLockContext.competingThreads.avg,1785188862276000000,1785188885597000000,0.0
FilePageCache.maxRegisteredFiles,1785188862276000000,1785188885597000000,218
FilePageCache.totalPageDisposalsUs,1785188862276000000,1785188885597000000,317
DirectByteBufferAllocator.disposed,1785188862276000000,1785188885597000000,78
FilePageCache.pageHits,1785188862276000000,1785188885597000000,0
FilePageCache.uncachedFileAccess,1785188862276000000,1785188885597000000,236
DirectByteBufferAllocator.hits,1785188862276000000,1785188885597000000,27
