# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_1.totalTimeSpentWritingMs,1787998616899000000,1787998638991000000,99
Indexes.entries.lookups,1787998616899000000,1787998638991000000,0
Indexing.cache.totalCacheMisses,1787998616899000000,1787998638991000000,35477
Indexing.writer_4.totalTimeSpentWritingMs,1787998616899000000,1787998638991000000,56
Indexing.writesQueuedMax,1787998616899000000,1787998638991000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1787998616899000000,1787998638991000000,108
Indexes.stubs.lookups,1787998616899000000,1787998638991000000,163
Indexing.writer_5.totalTimeSpentWritingMs,1787998616899000000,1787998638991000000,31
Indexing.cache.totalCacheAccesses,1787998616899000000,1787998638991000000,176072
workspaceModel.pre.handlers.ms,1787998616899000000,1787998638991000000,1
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1787998616899000000,1787998638991000000,18
workspaceModel.workspaceFileIndexData.getPackageName.ms,1787998616899000000,1787998638991000000,0
workspaceModel.full.replace.project.model.ms,1787998616899000000,1787998638991000000,55
workspaceModel.on.changed.ms,1787998616899000000,1787998638991000000,68
workspaceModel.loading.total.ms,1787998616899000000,1787998638991000000,13
workspaceModel.collect.changes.ms,1787998616899000000,1787998638991000000,0
workspaceModel.init.bridges.ms,1787998616899000000,1787998638991000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1787998616899000000,1787998638991000000,22
workspaceModel.workspaceFileIndexData.init.ms,1787998616899000000,1787998638991000000,7
workspaceModel.cachedValue.clear.count,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1787998616899000000,1787998638991000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1787998616899000000,1787998638991000000,0
workspaceModel.updates.precise.ms,1787998616899000000,1787998638991000000,1
workspaceModel.update.unloaded.entities.ms,1787998616899000000,1787998638991000000,0
workspaceModel.initializing.ms,1787998616899000000,1787998638991000000,0
workspaceModel.non.incremental.contributors.total.update.time.ms,1787998616899000000,1787998638991000000,0
workspaceModel.cachedValue.calculated.count,1787998616899000000,1787998638991000000,17
workspaceModel.cachedValue.from.cache.count,1787998616899000000,1787998638991000000,38362
workspaceModel.to.snapshot.ms,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1787998616899000000,1787998638991000000,0
